,외국인 보유금액 (단위:조원),외환보유액(단위:억달러),FTSE지수(종가기준),MSCI지수(종가기준),2013년물(USD),"2014년물(4월,USD)","2014년물(9월,USD)",2015년물(EUR),2016년물(USD),2019년물(USD),2023년물(USD),2024년물(USD),2027년물(USD),2028년물(USD),2029년물(USD),2044년물(USD),2048년물(USD),국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리,미국 연준 금리(평균),AAII(경제전망 단위: %),외국인투자 VIX
201306월,377.9,"3,264",251.1,533.83,-,80,84,-,110,160,-,-,-,-,-,-,-,2.87,3.08,3.31,3.24,2.69,2.49,2.5,0.093,-2.125,16.86
201307월,385.3,"3,297",257.24,544.38,-,73,76,-,119,143,-,-,-,-,-,-,-,2.91,3.18,3.47,3.38,2.68,2.48,2.5,0.092,24.45,13.45
201308월,396.6,"3,311",262.48,558.18,-,57,59,-,125,134,-,-,-,-,-,-,-,2.94,3.26,3.61,3.33,2.66,2.5,2.5,0.082,3.74,17.01
201309월,416.8,"3,369",272,576.98,-,49,55,-,117,114,-,-,-,-,-,-,-,2.9,3.17,3.53,3.29,2.66,2.5,2.5,0.08,11.5,16.6
201310월,437.3,"3,432",278.81,594.94,-,40,43,-,116,97,77,-,-,-,-,-,-,2.83,3.08,3.44,3.25,2.66,2.5,2.5,0.087,18.4,13.75
201311월,442.4,"3,450",281.42,600.97,-,29,33,-,95,94,70,-,-,-,-,-,-,2.94,3.24,3.58,3.37,2.65,2.5,2.5,0.084,14.825,13.7
201312월,430.6,"3,465",275.8,589.43,-,21,29,-,97,92,69,-,-,-,-,-,-,2.94,3.3,3.65,3.36,2.65,2.5,2.5,0.085,22.575,13.72
201401월,412.5,"3,484",263.31,562.13,-,-,-,-,83,97,78,-,-,-,-,-,-,2.89,3.26,3.65,3.32,2.65,2.5,2.5,0.071,12.74,18.41
201402월,425.2,"3,518",269.11,577.6,-,-,-,-,76,82,72,-,-,-,-,-,-,2.85,3.16,3.52,3.28,2.65,2.49,2.5,0.066,10.575,14
201403월,424.6,"3,543",268.67,576.7,-,-,-,-,68,59,58,-,-,-,-,-,-,2.87,3.17,3.54,3.3,2.65,2.48,2.5,0.078,10.375,13.88
201404월,424.2,"3,559",265.4,569.22,-,-,-,-,64,58,53,-,-,-,-,-,-,2.88,3.17,3.54,3.3,2.65,2.49,2.5,0.09,1.125,13.41
201405월,436.9,"3,609",271.06,583.2,-,-,-,-,55,51,50,-,-,-,-,-,-,2.84,3.08,3.4,3.26,2.65,2.49,2.5,0.087,5.56,11.4
201406월,437.2,"3,666",271.72,583.2,-,-,-,-,44,39,37,-,-,-,-,-,-,2.75,2.97,3.3,3.17,2.65,2.48,2.5,0.095,16.95,11.57
201407월,459.5,"3,680",281.76,603.12,-,-,-,-,50,35,39,-,-,-,-,40,-,2.56,2.77,3.06,2.97,2.65,2.49,2.5,0.09,5.74,16.95
201408월,455.1,"3,675",277.04,590.2,-,-,-,-,40,38,38,-,-,-,-,40,-,2.54,2.77,3.09,2.93,2.52,2.34,2.25,0.088,15.2,12.09
201409월,437.2,"3,644",266.91,563.85,-,-,-,-,35,40,44,-,-,-,-,41,-,2.41,2.65,3.01,2.78,2.35,2.23,2.25,0.088,16.85,16.309
201410월,430.1,"3,637",260.08,553.03,-,-,-,-,36,41,42,-,-,-,-,39,-,2.24,2.42,2.77,2.6,2.21,2.06,2,0.089,15.58,14.03
201411월,438,"3,631",262.26,558.73,-,-,-,-,35,40,43,-,-,-,-,41,-,2.14,2.33,2.69,2.47,2.14,1.98,2,0.092,33.225,13.33
201412월,422.3,"3,636",251.17,536.46,-,-,-,-,-,43,48,-,-,-,-,45,-,2.14,2.33,2.68,2.46,2.13,1.99,2,0.122,20.85,19.2
201501월,433.5,"3,622",255.67,546.17,-,-,-,-,-,40,50,-,-,-,-,55,-,2.04,2.16,2.42,2.36,2.13,1.99,2,0.114,19.68,20.969
201502월,436.8,"3,624",257.95,550.24,-,-,-,-,-,38,48,-,-,-,-,53,-,2.02,2.11,2.35,2.3,2.12,1.99,2,0.11,19.25,13.34
201503월,451.3,"3,628",263.07,563.21,-,-,-,-,-,38,47,-,-,-,-,47,-,1.87,1.97,2.28,2.13,1.95,1.82,1.75,0.112,8.075,15.29
201504월,470.3,"3,699",271.94,580.38,-,-,-,-,-,35,47,-,-,-,-,45,-,1.74,1.86,2.18,1.99,1.81,1.73,1.75,0.124,6.9,14.55
201505월,461.4,"3,715",264.69,565.77,-,-,-,-,-,34,46,-,-,-,-,47,-,1.88,2.11,2.49,2.12,1.8,1.74,1.75,0.123,0.675,13.84
201506월,444.6,"3,747",255.7,545.06,-,-,-,-,-,34,46,-,-,-,-,47,-,1.77,2.04,2.47,2.01,1.7,1.57,1.5,0.129,-1.2,18.23
201507월,430.2,"3,708",247.49,525.57,-,-,-,-,-,33,48,-,-,-,-,44,-,1.78,2.05,2.45,2,1.65,1.48,1.5,0.13,-3.78,12.12
201508월,405.2,"3,679",235.53,500.6,-,-,-,-,-,37,54,-,-,-,-,47,-,1.74,1.95,2.31,1.98,1.64,1.49,1.5,0.138,-6.325,28.43
201509월,413.8,"3,681",240.46,510.49,-,-,-,-,-,43,57,-,-,-,-,47,-,1.65,1.85,2.22,1.95,1.6,1.48,1.5,0.136,1.95,24.5
201510월,441.3,"3,696",256.54,546.39,-,-,-,-,-,35,52,-,-,-,-,41,-,1.63,1.78,2.09,1.96,1.58,1.48,1.5,0.123,6.98,15.07
201511월,430.2,"3,685",251.65,535.54,-,-,-,-,-,33,45,-,-,-,-,38,-,1.75,1.95,2.25,2.12,1.59,1.49,1.5,0.117,9.55,16.129
201512월,420.4,"3,680",247.28,526.86,-,-,-,-,-,29,43,-,-,-,-,37,-,1.72,1.9,2.18,2.14,1.67,1.48,1.5,0.24,-2.44,18.209
201601월,403.6,"3,676",238.34,508.22,-,-,-,-,-,96,46,-,-,-,-,40,-,1.63,1.77,2.03,2.1,1.67,1.49,1.5,0.342,-20.275,20.2
201602월,407.3,"3,658",240.04,511.24,-,-,-,-,-,99,43,-,-,-,-,41,-,1.47,1.59,1.83,1.95,1.64,1.49,1.5,0.375,-11.775,20.549
201603월,432.5,"3,698",253.21,538.62,-,-,-,-,-,97,38,-,-,-,-,34,-,1.5,1.61,1.85,1.98,1.63,1.49,1.5,0.362,6.08,13.95
201604월,432.2,"3,725",251.78,534.26,-,-,-,-,-,87,33,-,-,-,-,20,-,1.47,1.57,1.81,1.94,1.61,1.49,1.5,0.365,5.5,15.7
201605월,433.4,"3,709",250.74,532.61,-,-,-,-,-,70,23,-,-,-,-,14,-,1.46,1.55,1.79,1.91,1.58,1.49,1.5,0.365,-11.325,14.19
201606월,437.4,"3,699",252.12,535.37,-,-,-,-,-,67,25,-,-,-,-,18,-,1.33,1.41,1.62,1.79,1.43,1.29,1.25,0.377,-5.78,15.63
201607월,454.7,"3,714",260.41,552.5,-,-,-,-,-,63,22,-,-,-,-,18,-,1.22,1.25,1.4,1.65,1.36,1.23,1.25,0.391,7.075,11.87
201608월,466.7,"3,755",267.26,567.46,-,-,-,-,-,61,19,-,-,-,-,12,-,1.24,1.26,1.42,1.65,1.35,1.23,1.25,0.396,4.125,13.42
201609월,469.6,"3,778",267.2,568.16,-,-,-,-,-,58,21,-,-,-,-,13,-,1.31,1.35,1.51,1.7,1.34,1.24,1.25,0.396,-7.24,13.29
201610월,468.3,"3,752",267.37,568.74,-,-,-,-,-,57,19,-,-,-,-,14,-,1.36,1.41,1.6,1.78,1.35,1.23,1.25,0.396,-7.7,17.059
201611월,469.1,"3,720",265.82,565.95,-,-,-,-,-,55,25,-,-,-,-,21,-,1.61,1.74,1.97,2.02,1.42,1.23,1.25,0.406,11.7,13.33
201612월,480.8,"3,711",272.38,580.57,-,-,-,-,-,54,25,-,-,-,-,24,-,1.69,1.87,2.16,2.16,1.54,1.23,1.25,0.54,16.58,14.04
201701월,501.1,"3,740",282.09,601.46,-,-,-,-,-,60,73,-,55,-,-,25,-,1.64,1.82,2.11,2.1,1.5,1.24,1.25,0.649,10.025,11.99
201702월,502.4,"3,739",283,602.88,-,-,-,-,-,60,74,-,53,-,-,25,-,1.67,1.86,2.16,2.13,1.49,1.23,1.25,0.656,3.4,12.92
201703월,528.2,"3,753",293.86,627.13,-,-,-,-,-,65,74,-,55,-,-,24,-,1.71,1.91,2.22,2.21,1.48,1.23,1.25,0.786,-4.82,12.37
201704월,545.6,"3,766",302.33,644.51,-,-,-,-,-,66,78,-,66,-,-,30,-,1.68,1.86,2.18,2.2,1.43,1.23,1.25,0.896,-6.6,10.82
201705월,581,"3,785",321.42,685.16,-,-,-,-,-,68,81,-,67,-,-,34,-,1.7,1.91,2.26,2.22,1.4,1.23,1.25,0.907,0.775,10.41
201706월,597.3,"3,806",330.96,705.91,-,-,-,-,-,67,82,-,68,-,-,28,-,1.67,1.86,2.17,2.21,1.38,1.24,1.25,1.04,2.14,11.18
201707월,605.7,"3,838",334.07,712.48,-,-,-,-,-,63,78,-,69,-,-,30,-,1.74,1.94,2.25,2.28,1.39,1.24,1.25,1.15,4.525,10.26
201708월,595.9,"3,848",327.76,700.05,-,-,-,-,-,64,82,-,74,-,-,28,-,1.78,1.99,2.29,2.32,1.39,1.23,1.25,1.157,-3.68,10.59
201709월,613,"3,847",339.69,725.1,-,-,-,-,-,74,83,-,81,-,-,40,-,1.79,1.99,2.29,2.33,1.38,1.25,1.25,1.153,7.575,9.51
201710월,650.9,"3,845",360.02,768.88,-,-,-,-,-,67,80,-,67,-,-,44,-,2.03,2.25,2.46,2.57,1.38,1.24,1.25,1.153,8.075,10.18
201711월,634.4,"3,873",350.44,746.85,-,-,-,-,-,69,79,-,61,-,-,53,-,2.15,2.36,2.54,2.71,1.45,1.26,1.5,1.156,8.68,11.28
201712월,634.7,"3,893",351.44,748.78,-,-,-,-,-,55,76,-,60,-,-,51,-,2.1,2.3,2.47,2.65,1.66,1.51,1.5,1.297,19.125,11.04
201801월,657.7,"3,957",363.58,773.59,-,-,-,-,-,50,60,-,47,-,-,48,-,2.19,2.44,2.63,2.72,1.66,1.49,1.5,1.417,30.475,13.54
201802월,621.1,"3,948",343.72,733,-,-,-,-,-,49,56,-,52,-,-,52,-,2.28,2.54,2.77,2.82,1.65,1.49,1.5,1.417,16.75,19.85
201803월,625.2,"3,968",345.85,738.41,-,-,-,-,-,46,61,-,66,-,-,60,-,2.27,2.5,2.71,2.83,1.65,1.49,1.5,1.506,5.74,19.969
201804월,643.8,"3,984",356.01,760.23,-,-,-,-,-,-,63,-,66,-,-,65,-,2.19,2.44,2.66,2.79,1.65,1.47,1.5,1.692,-0.35,15.93
201805월,623.9,"3,990",340.02,727.06,-,-,-,-,-,-,66,-,68,-,-,72,-,2.25,2.53,2.76,2.86,1.65,1.5,1.5,1.7,8.86,15.43
201806월,596.9,"4,003",327.38,699.61,-,-,-,-,-,-,63,-,64,-,-,74,-,2.18,2.44,2.66,2.81,1.65,1.49,1.5,1.801,8.85,16.09
201807월,592.7,"4,025",324.28,691.44,-,-,-,-,-,-,66,-,68,-,-,77,-,2.1,2.34,2.55,2.75,1.65,1.49,1.5,1.91,4.2,12.83
201808월,599.8,"4,011",327.96,700.89,-,-,-,-,-,-,65,-,70,-,-,80,-,2.02,2.24,2.46,2.66,1.65,1.5,1.5,1.914,7.98,12.86
201809월,597,"4,030",327.63,699.73,-,-,-,-,-,-,60,-,62,58,-,75,73,1.95,2.13,2.32,2.4,1.65,1.54,1.5,1.948,5.075,12.12
201810월,524.6,"4,028",288.51,615.76,-,-,-,-,-,-,61,-,60,61,-,73,72,2.01,2.16,2.34,2.45,1.68,1.52,1.5,2.188,0.4,21.23
201811월,532.9,"4,030",294.1,626.01,-,-,-,-,-,-,58,-,61,65,-,76,81,1.94,2.05,2.21,2.4,1.71,1.51,1.75,2.199,-2.98,18.07
201812월,509.7,"4,037",283.45,604.06,-,-,-,-,-,-,63,-,66,72,-,81,91,1.83,1.89,1.99,2.3,1.91,1.77,1.75,2.267,-15.45,25.42
201901월,567.2,"4,055",311.89,664.16,-,-,-,-,-,-,51,-,60,69,-,74,83,1.81,1.88,1.99,2.26,1.87,1.75,1.75,2.4,0.4,16.57
201902월,563.7,"4,047",308.88,658.19,-,-,-,-,-,-,48,-,59,65,-,67,77,1.8,1.87,1.99,2.25,1.87,1.76,1.75,2.4,15.65,14.78
201903월,554.6,"4,053",301.22,642.74,-,-,-,-,-,-,40,-,53,57,-,66,71,1.79,1.84,1.95,2.24,1.9,1.76,1.75,2.403,7.975,13.71
201904월,575.9,"4,040",310.94,664.15,-,-,-,-,-,-,34,-,54,58,-,62,66,1.74,1.77,1.89,2.21,1.89,1.75,1.75,2.423,13.95,13.12
201905월,532.4,"4,020",287.61,614.03,-,-,-,-,-,-,31,-,51,55,-,62,68,1.68,1.72,1.83,2.15,1.84,1.75,1.75,2.392,0.28,18.709
201906월,559.8,"4,031",302.26,645.79,-,-,-,-,-,-,31,31,50,51,52,60,61,1.5,1.53,1.62,2,1.8,1.76,1.75,2.375,-8.15,15.08
201907월,543.3,"4,031",290.28,620.75,-,-,-,-,-,-,30,32,48,49,50,57,56,1.38,1.42,1.51,1.89,1.68,1.63,1.5,2.402,3.475,16.12
201908월,526.5,"4,015",282.46,603.6,-,-,-,-,-,-,35,37,51,53,57,59,62,1.16,1.2,1.25,1.69,1.49,1.51,1.5,2.125,-12.6,18.98
201909월,555.8,"4,033",298.38,637.36,-,-,-,-,-,-,37,37,52,54,57,59,60,1.29,1.35,1.42,1.79,1.54,1.52,1.5,2.052,-1.35,16.24
201910월,560.6,"4,063",303.51,648.34,-,-,-,-,-,-,37,38,52,53,55,56,55,1.36,1.44,1.58,1.86,1.46,1.35,1.25,1.829,-5.28,13.22
201911월,558.4,"4,075",303.37,648.36,-,-,-,-,-,-,37,35,50,50,52,52,49,1.49,1.59,1.75,2,1.52,1.28,1.25,1.552,10.225,12.62
201912월,593.2,"4,088",323.06,691.12,-,-,-,-,-,-,37,36,49,48,47,49,48,1.39,1.48,1.65,1.95,1.53,1.28,1.25,1.55,14.55,13.78
202001월,581.5,"4,097",314.7,674.34,-,-,-,-,-,-,40,35,49,46,46,48,48,1.37,1.48,1.66,1.96,1.47,1.27,1.25,1.551,9.74,18.84
202002월,545.1,"4,092",297.21,636.97,-,-,-,-,-,-,44,40,49,51,53,52,52,1.25,1.36,1.54,1.85,1.42,1.24,1.25,1.583,4.2,40.11
202003월,468.7,"4,002",262.67,563,-,-,-,-,-,-,58,76,83,85,89,82,83,1.09,1.27,1.49,1.84,1.23,0.98,0.75,0.625,-14.625,53.54
202004월,505,"4,040",284.5,609.65,-,-,-,-,-,-,68,79,84,85,86,86,83,1.02,1.26,1.5,2.15,1.1,0.74,0.75,0.048,-14,34.15
202005월,520.6,"4,073",295.73,633.55,-,-,-,-,-,-,67,79,83,85,86,82,83,0.88,1.13,1.39,2.18,1.02,0.7,0.5,0.05,-20.35,27.51
202006월,541.6,"4,108",309.84,663.54,-,-,-,-,-,-,57,70,74,76,76,75,75,0.85,1.13,1.39,2.22,0.79,0.48,0.5,0.076,-14.075,30.43
202007월,583.5,"4,165",330.05,704.84,-,-,-,-,-,-,48,62,64,67,68,71,72,0.83,1.09,1.36,2.22,0.79,0.48,0.5,0.093,-20.54,24.459
202008월,589.2,"4,190",336.67,717.4,-,-,-,-,-,-,40,50,54,56,56,67,67,0.83,1.09,1.37,2.19,0.68,0.5,0.5,0.094,-13.975,26.41
202009월,598.4,"4,206",340.15,726.69,-,-,-,-,-,-,37,45,44,50,49,65,66,0.91,1.19,1.5,2.24,0.63,0.48,0.5,0.09,-16.3,26.37
202010월,584.8,"4,265",332.2,709.59,-,-,-,-,-,-,29,43,40,44,45,64,65,0.91,1.2,1.51,2.24,0.63,0.51,0.5,0.09,-3.86,38.02
202011월,675.2,"4,364",383.13,815.75,-,-,-,-,-,-,19,37,33,37,37,61,61,0.97,1.3,1.61,2.25,0.66,0.49,0.5,0.086,18.825,20.57
202012월,764.3,"4,431",435.29,925.97,-,-,-,-,-,-,14,33,30,32,33,59,58,0.97,1.32,1.68,2.21,0.66,0.51,0.5,0.09,21.12,22.75
202101월,787.9,"4,427",454.17,958.92,-,-,-,-,-,-,-,39,64,27,27,53,54,0.98,1.32,1.73,2.14,0.68,0.49,0.5,0.085,7,33.09
202102월,797.5,"4,476",458.25,965.03,-,-,-,-,-,-,-,35,50,24,23,52,53,1,1.35,1.85,2.06,0.73,0.49,0.5,0.075,16.2,27.95
202103월,805.3,"4,461",463.06,973.1,-,-,-,-,-,-,-,39,48,21,23,51,52,1.13,1.55,2.04,2.09,0.75,0.49,0.5,0.069,24.15,19.4
202104월,822.4,"4,523",469.66,984.81,-,-,-,-,-,-,-,30,49,22,24,51,51,1.14,1.58,2.04,1.98,0.74,0.48,0.5,0.068,27.48,18.61
202105월,820.2,"4,565",473.36,987.75,-,-,-,-,-,-,-,40,45,21,24,51,52,1.13,1.65,2.13,1.89,0.68,0.48,0.5,0.059,12.9,16.76
202106월,842.3,"4,541",484.82,"1,013.67",-,-,-,-,-,-,-,37,41,18,19,47,48,1.3,1.7,2.1,1.91,0.66,0.51,0.5,0.077,18.975,15.83
202107월,811,"4,587",467.72,976.26,-,-,-,-,-,-,-,33,39,18,20,46,47,1.42,1.69,1.98,1.89,0.69,0.53,0.5,0.098,12.74,18.24
202108월,797.9,"4,639",463.46,968.39,-,-,-,-,-,-,-,34,38,16,18,46,46,1.41,1.65,1.91,1.84,0.77,0.56,0.75,0.093,3.65,16.48
202109월,769.2,"4,640",442.84,922.65,-,-,-,-,-,-,22,33,37,16,18,46,46,1.52,1.79,2.06,1.95,0.98,0.77,0.75,0.079,-3.38,23.139
202110월,742.7,"4,692",427.57,889.57,-,-,-,-,-,-,-,30,35,15,17,46,46,1.84,2.15,2.4,2.3,1.08,0.74,0.75,0.079,6.1,16.26
202111월,733.4,"4,639",412.69,862.72,-,-,-,-,-,-,-,31,36,17,17,49,50,1.95,2.17,2.36,2.49,1.17,0.8,1,0.079,12.3,27.19
202112월,783.2,"4,631",437.16,911.53,-,-,-,-,-,-,-,29,33,15,17,47,48,1.8,1.98,2.19,2.41,1.27,1.01,1,0.079,-5.56,17.219
202201월,721.4,"4,615",398.2,829.88,-,-,-,-,-,-,-,32,33,21,24,49,49,2.06,2.28,2.49,2.63,1.39,1.19,1.25,0.08,-17.4,24.83
202202월,723.8,"4,618",400.51,832.19,-,-,-,-,-,-,-,34,35,32,27,51,52,2.29,2.5,2.69,2.87,1.5,1.22,1.25,0.08,-20.625,30.15
202203월,724.2,"4,578",402.77,836.81,-,-,-,-,-,-,-,32,36,41,32,54,54,2.37,2.6,2.78,3.03,1.5,1.24,1.25,0.199,-11.68,20.559
202204월,695.7,"4,493",391.28,812.29,-,-,-,-,-,-,-,31,40,46,35,59,59,2.94,3.14,3.22,3.63,1.64,1.3,1.5,0.33,-29.3,33.4
202205월,695.3,"4,477",392.18,814.54,-,-,-,-,-,-,-,33,39,48,38,65,68,3.02,3.23,3.3,3.78,1.77,1.51,1.75,0.758,-27.175,26.19
202206월,593,"4,383",340.45,706.72,-,-,-,-,-,-,-,33,41,50,39,67,68,3.48,3.65,3.64,4.23,1.99,1.75,1.75,1.187,-26.96,28.709
202207월,629.9,"4,386",359.64,748.12,-,-,-,-,-,-,-,35,40,49,42,72,73,3.24,3.3,3.3,4.13,2.41,1.97,2.25,1.654,-19.5,21.33
202208월,629.9,"4,364",358.5,744.58,-,-,-,-,-,-,-,31,43,46,39,74,75,3.25,3.3,3.32,4.23,2.79,2.26,2.5,2.33,-7.825,25.87
202209월,593,"4,168",312.36,649.07,-,-,-,-,-,-,-,33,43,45,39,77,78,3.9,3.94,3.9,4.9,3.01,2.53,2.5,2.58,-33.52,31.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,
